bce,elbo,kld,epoch
75.485596,102.431694,26.946098,1
63.958443,91.74182,27.783382,2
58.274174,87.01618,28.74201,3
55.05677,83.48579,28.429016,4
52.972946,82.575035,29.60209,5
52.00366,80.573524,28.569866,6
50.85813,79.93677,29.078632,7
48.952618,79.11823,30.165613,8
49.047203,78.18832,29.141113,9
49.149883,78.47218,29.322304,10
47.685875,77.200005,29.514128,11
47.959652,77.141426,29.181776,12
46.73933,76.443665,29.704338,13
46.56507,76.09826,29.533188,14
45.48527,75.83821,30.35294,15
47.23618,76.12403,28.887852,16
46.34682,75.76505,29.418232,17
45.211185,74.87138,29.660196,18
45.184887,74.98139,29.796503,19
45.706104,75.38294,29.676836,20
44.571686,74.42282,29.851133,21
44.2615,74.31491,30.053411,22
44.69201,74.22885,29.536842,23
44.97576,74.11637,29.140612,24
43.582466,73.99083,30.408365,25
44.03951,73.84978,29.81027,26
43.836105,73.72484,29.88873,27
43.654514,73.49322,29.838701,28
43.806496,73.65996,29.853458,29
43.19282,73.16971,29.976889,30
43.583176,73.30327,29.72009,31
43.836338,73.25293,29.416588,32
43.156624,73.13001,29.973387,33
43.188507,72.80705,29.61855,34
42.49448,72.76249,30.268007,35
42.522297,73.40453,30.882236,36
43.218853,72.842735,29.623882,37
42.693474,72.58364,29.890167,38
42.180367,72.610275,30.429913,39
42.136337,72.56337,30.427029,40
42.41508,72.46943,30.05435,41
42.132103,72.5312,30.399092,42
41.77301,72.27794,30.504925,43
41.73768,72.467415,30.729738,44
42.10506,72.202515,30.097456,45
42.477333,72.36893,29.89159,46
42.04434,72.33306,30.288721,47
41.625065,72.16947,30.544405,48
41.51184,72.228645,30.716806,49
41.880238,72.164,30.28376,50
41.201797,72.1096,30.907799,51
41.72968,72.17334,30.44366,52
41.73905,72.02905,30.289999,53
41.503452,71.996704,30.493252,54
41.551086,71.94181,30.390726,55
41.61762,71.8557,30.23808,56
41.047035,71.963425,30.916388,57
41.36047,71.74782,30.387346,58
41.19925,71.76866,30.569408,59
41.581745,71.83971,30.257957,60
41.43824,71.70644,30.268202,61
40.91044,71.87041,30.959972,62
41.08644,71.65703,30.57059,63
40.959343,71.73881,30.779467,64
41.191242,71.684784,30.493538,65
41.10798,71.56135,30.453371,66
41.21814,71.69361,30.475473,67
41.16519,71.53517,30.369984,68
41.008224,71.46616,30.457941,69
40.99932,71.4568,30.457481,70
40.99721,71.48662,30.489405,71
40.902573,71.453156,30.550581,72
41.13173,71.43341,30.301685,73
41.117798,71.416245,30.298449,74
40.710136,71.45054,30.7404,75
40.985615,71.3927,30.407082,76
40.680138,71.35722,30.677084,77
40.81299,71.34406,30.531076,78
41.148346,71.42043,30.272089,79
40.783916,71.386185,30.602264,80
40.648033,71.35217,30.704136,81
40.923782,71.3446,30.420813,82
40.737362,71.26103,30.523666,83
40.76328,71.27832,30.515041,84
40.940998,71.308075,30.367077,85
40.59594,71.27896,30.68302,86
40.809433,71.244354,30.434921,87
40.872005,71.2038,30.331795,88
40.650032,71.23276,30.582724,89
40.747562,71.19525,30.447685,90
40.78885,71.20949,30.42064,91
40.631535,71.22029,30.588753,92
40.779007,71.18916,30.410158,93
40.6402,71.20705,30.566841,94
40.59752,71.215576,30.618061,95
40.699085,71.18515,30.486069,96
40.567722,71.18144,30.613722,97
40.69073,71.19194,30.501211,98
40.567577,71.18936,30.62178,99
40.62459,71.188354,30.563766,100
