elbo,kld,mse,epoch
39.187424,7.36727,35.503788,1
14.003422,6.690177,10.658333,2
13.644274,6.671735,10.308406,3
8.792203,6.8017983,5.391304,4
14.26819,6.8183413,10.85902,5
8.137295,6.090953,5.091819,6
10.79188,6.270259,7.6567507,7
12.303292,6.262627,9.171979,8
11.607185,6.7393303,8.23752,9
8.526631,5.912398,5.570432,10
8.358595,5.801226,5.4579816,11
7.032322,6.2404737,3.9120853,12
9.864595,5.8481936,6.940499,13
9.528843,5.4932756,6.782205,14
9.065349,5.5048823,6.3129077,15
6.8599453,5.8506002,3.934645,16
7.3532276,5.920855,4.3928,17
8.8211155,6.03632,5.802955,18
6.8791437,5.52552,4.116384,19
8.2303,5.434038,5.513281,20
8.767151,5.618389,5.957957,21
8.491598,5.7166195,5.6332884,22
5.4480886,5.465237,2.7154698,23
5.493489,5.7230916,2.631943,24
6.4751725,5.410508,3.7699184,25
7.1841927,5.610723,4.3788314,26
9.745485,6.094813,6.6980786,27
6.327694,5.5169086,3.5692394,28
5.539732,5.558969,2.7602472,29
5.284009,5.1625967,2.7027104,30
6.932042,5.126388,4.368848,31
5.363975,5.5820484,2.5729508,32
4.9062457,4.83841,2.4870408,33
5.432722,4.99584,2.9348018,34
10.071878,5.244164,7.449796,35
8.681715,5.0759435,6.1437435,36
4.859231,5.479062,2.1197002,37
5.835626,4.9150124,3.37812,38
5.1619477,5.153621,2.5851371,39
5.0751224,5.6372843,2.2564802,40
5.7177505,4.950712,3.2423942,41
5.6926966,5.1901193,3.0976372,42
4.908702,5.830567,1.9934185,43
4.4948096,5.699472,1.6450735,44
4.7690854,5.6048408,1.9666651,45
5.023096,6.062844,1.9916744,46
5.3712506,6.0809593,2.330771,47
7.6467953,5.1231694,5.0852103,48
6.7667046,5.3602004,4.086604,49
5.2613726,6.269463,2.126641,50
5.8104615,6.101369,2.759777,51
5.966874,6.2227025,2.855523,52
5.548234,6.133556,2.4814563,53
5.2073193,6.325646,2.044496,54
5.81566,5.3755627,3.1278787,55
6.6219525,5.8438797,3.7000127,56
4.6305265,5.8841176,1.6884677,57
4.817349,5.5519843,2.0413568,58
4.460687,5.1592746,1.8810498,59
4.1756167,5.605476,1.3728787,60
4.2525554,5.315653,1.5947291,61
4.1398087,5.202961,1.538328,62
4.28468,5.4836836,1.542838,63
4.3174043,5.3485336,1.6431373,64
4.7128954,5.0754905,2.17515,65
4.1102986,5.4110346,1.4047815,66
4.378932,5.4134073,1.6722282,67
3.962317,5.5793343,1.17265,68
4.1421194,5.091182,1.5965283,69
4.11181,5.5625415,1.3305393,70
4.031444,5.0855365,1.488676,71
3.9817662,5.43891,1.2623113,72
3.9307194,5.4003143,1.2305621,73
4.222107,5.159007,1.6426034,74
4.113023,5.2244897,1.5007778,75
4.0963826,5.035975,1.5783951,76
4.0947676,5.30213,1.4437022,77
3.7998023,5.126761,1.2364217,78
3.6687608,5.2251534,1.0561839,79
3.7622235,5.3400764,1.0921853,80
3.7093806,4.9366775,1.2410418,81
3.8636014,5.0355506,1.3458261,82
3.67544,4.983158,1.183861,83
3.6624568,5.224724,1.0500948,84
3.6169062,5.079106,1.0773531,85
3.6165526,4.998534,1.1172855,86
3.6362529,4.94922,1.1616429,87
3.6704688,5.149468,1.0957347,88
3.586536,5.017683,1.0776944,89
3.5813131,5.1082,1.027213,90
3.586187,5.0801616,1.046106,91
3.7039618,4.847549,1.2801874,92
3.6314237,4.850196,1.2063258,93
3.5376701,5.000542,1.0373989,94
3.5944538,4.9788127,1.1050473,95
3.5319982,4.9711018,1.0464472,96
3.550815,4.967895,1.0668675,97
3.5187836,4.999689,1.0189389,98
3.515654,4.983767,1.0237705,99
3.5426173,4.9613857,1.0619243,100
