elbo,kld,mse,epoch
48.569855,31.33605,17.233807,1
36.950428,23.45735,13.493077,2
29.24501,16.838593,12.406417,3
24.698303,14.918821,9.779481,4
21.981155,12.249849,9.731305,5
18.846224,11.462018,7.3842053,6
17.702093,9.9879875,7.7141056,7
14.707817,9.125057,5.58276,8
14.106619,8.589287,5.5173316,9
13.308817,7.288066,6.0207505,10
12.679613,6.932306,5.747307,11
11.299114,7.007061,4.2920537,12
16.131264,8.240567,7.890696,13
11.367772,7.1060405,4.2617316,14
10.946725,6.3282776,4.6184473,15
9.589966,6.2780547,3.3119116,16
10.907922,6.163603,4.744319,17
9.452645,6.0532503,3.3993952,18
12.147854,6.342956,5.804898,19
10.442829,5.3962846,5.046544,20
9.71776,5.4286346,4.289126,21
8.863014,5.675497,3.1875174,22
8.988012,5.4449854,3.5430264,23
8.977753,5.637394,3.3403585,24
8.203058,5.55247,2.6505885,25
8.608658,5.230097,3.3785608,26
8.560278,5.245366,3.3149123,27
8.951693,5.456498,3.495195,28
8.586082,4.9362397,3.6498427,29
9.053192,5.1882634,3.8649292,30
8.457855,5.3393536,3.1185014,31
9.200994,4.551709,4.6492844,32
8.467758,5.1910977,3.276661,33
8.54911,5.0764613,3.4726489,34
7.9321795,5.420573,2.511606,35
8.050831,5.395859,2.6549723,36
9.6402,4.6899242,4.950276,37
8.526351,5.292509,3.2338421,38
8.491993,5.2758546,3.2161388,39
8.261899,4.859131,3.4027681,40
7.680146,5.0877347,2.5924118,41
7.3647823,4.8465247,2.5182574,42
7.6552505,4.6614943,2.9937565,43
7.2739663,4.8820176,2.3919487,44
7.3189783,4.869807,2.4491715,45
7.5697527,4.918184,2.6515687,46
7.522744,4.8923583,2.6303859,47
7.5649695,5.0554943,2.5094752,48
7.330858,4.721478,2.6093805,49
7.4242268,4.8000755,2.6241515,50
7.323761,4.8228874,2.5008736,51
7.5353394,4.8009944,2.734345,52
7.769167,4.860679,2.908488,53
7.342798,4.7891407,2.5536575,54
7.194426,5.0651755,2.1292505,55
7.291663,4.9536595,2.3380039,56
7.501695,4.7594357,2.7422595,57
7.3849277,5.000174,2.3847537,58
7.445874,5.120417,2.3254573,59
7.175709,4.9071846,2.2685242,60
7.389746,4.936057,2.453689,61
7.545085,4.7310314,2.8140538,62
7.2777743,4.8648787,2.4128957,63
7.4585533,4.934905,2.5236483,64
7.2447047,5.0281177,2.216587,65
7.36572,5.2053556,2.160364,66
7.4765086,4.8850665,2.591442,67
7.2405944,5.1027055,2.137889,68
7.33,5.068293,2.261707,69
7.344364,5.123594,2.2207704,70
7.450473,5.1411195,2.3093536,71
7.4602556,5.073462,2.3867939,72
7.375597,5.290581,2.085016,73
7.4376597,5.4780316,1.9596282,74
7.4982753,5.189675,2.3086004,75
7.387392,5.294289,2.093103,76
7.5556984,5.1276593,2.428039,77
7.4447656,5.2650685,2.179697,78
7.346261,5.3596582,1.986603,79
7.3706713,5.328501,2.0421703,80
7.372131,5.389492,1.9826387,81
7.404402,5.3541956,2.0502062,82
7.4559836,5.4765034,1.9794801,83
7.3902664,5.3948956,1.995371,84
7.3936896,5.4367785,1.9569112,85
7.4171314,5.399253,2.0178788,86
7.3544345,5.4342923,1.9201422,87
7.358631,5.3315773,2.0270538,88
7.3918695,5.4720516,1.9198177,89
7.3539624,5.4998393,1.8541232,90
7.37169,5.337897,2.0337927,91
7.3134627,5.383425,1.9300375,92
7.337553,5.391509,1.9460441,93
7.349368,5.4847364,1.8646317,94
7.3168383,5.479393,1.8374453,95
7.311716,5.4408636,1.8708524,96
7.318771,5.462182,1.8565888,97
7.329435,5.4706497,1.8587853,98
7.3334184,5.4319735,1.9014449,99
7.332854,5.520815,1.812039,100
