bce,elbo,kld,epoch
177.20222,180.81525,3.6130278,1
170.93681,174.12216,3.1853497,2
162.26721,165.39034,3.1231165,3
160.30249,163.4659,3.163399,4
159.08698,162.17532,3.0883434,5
158.21307,161.36388,3.1508012,6
157.36884,160.53568,3.166838,7
156.8893,160.0267,3.1374037,8
156.51324,159.72415,3.2109008,9
156.20709,159.30351,3.0964248,10
155.9715,159.16151,3.1900175,11
155.81868,159.01915,3.2004688,12
155.4604,158.622,3.1615915,13
155.02325,158.36751,3.3442488,14
155.05707,158.23868,3.1816077,15
154.82603,158.07712,3.2510858,16
154.44185,157.74138,3.2995317,17
154.00626,157.3748,3.3685484,18
153.69582,157.0513,3.3554862,19
153.93231,157.26758,3.3352702,20
153.07619,156.56172,3.4855368,21
152.66545,156.15768,3.4922378,22
152.18054,155.72673,3.5461867,23
152.0822,155.72006,3.6378596,24
151.59634,155.21074,3.6144018,25
151.38492,155.1285,3.7435832,26
150.9455,154.66977,3.724274,27
150.5598,154.40204,3.8422406,28
150.23575,154.03732,3.8015704,29
150.26534,154.00854,3.7432063,30
149.73096,153.60458,3.8736315,31
149.76462,153.58006,3.8154478,32
149.63516,153.48996,3.8548024,33
149.29738,153.16577,3.8683925,34
149.04572,153.01224,3.966521,35
149.09421,153.02292,3.928711,36
149.22868,153.1248,3.8961146,37
149.12206,152.98233,3.8602817,38
148.80983,152.70073,3.890902,39
148.72272,152.57327,3.8505538,40
148.87656,152.71669,3.8401308,41
148.66063,152.55005,3.8894184,42
148.41376,152.35422,3.9404676,43
148.60619,152.57664,3.9704597,44
148.50992,152.4531,3.9431756,45
148.4238,152.34251,3.918722,46
148.31259,152.206,3.893406,47
148.4052,152.23393,3.8287306,48
148.3055,152.16699,3.8614979,49
148.38835,152.25914,3.870792,50
148.26161,152.2163,3.9546745,51
148.27106,152.15398,3.8829255,52
148.24792,152.17976,3.9318457,53
148.25488,152.15979,3.9049017,54
148.05807,152.00952,3.9514391,55
147.98643,151.91481,3.9283688,56
148.01692,151.95645,3.939536,57
147.98373,151.91872,3.934975,58
147.89641,151.86052,3.9641125,59
147.8768,151.87251,3.995708,60
147.86096,151.8562,3.9952366,61
147.96136,151.92908,3.967706,62
147.8865,151.85655,3.9700513,63
147.90471,151.95427,4.0495634,64
147.9894,151.97034,3.9809456,65
148.18906,152.1401,3.9510481,66
147.91766,151.86443,3.9467647,67
148.01314,151.9394,3.9262743,68
147.96133,151.93875,3.9774106,69
147.96506,151.95177,3.986711,70
147.84116,151.8041,3.9629416,71
147.82355,151.8004,3.9768515,72
147.7487,151.74004,3.9913285,73
147.85191,151.84511,3.9931967,74
147.73111,151.6915,3.960393,75
147.6524,151.62048,3.9680855,76
147.66486,151.6799,4.0150423,77
147.65762,151.63074,3.97311,78
147.53886,151.53697,3.9981031,79
147.58382,151.58145,3.9976413,80
147.54596,151.56044,4.0144744,81
147.51683,151.535,4.0181675,82
147.47351,151.4879,4.014383,83
147.41647,151.44925,4.032782,84
147.44012,151.4629,4.0227885,85
147.39192,151.4285,4.0365725,86
147.34976,151.36487,4.0151076,87
147.3783,151.40222,4.023927,88
147.35019,151.38513,4.034945,89
147.32768,151.36288,4.035195,90
147.35316,151.36774,4.0145707,91
147.33438,151.36693,4.032545,92
147.3543,151.37898,4.0246916,93
147.35501,151.38538,4.0303693,94
147.33945,151.37328,4.0338235,95
147.3343,151.3645,4.0301948,96
147.34413,151.36975,4.0256224,97
147.33446,151.36455,4.030085,98
147.34178,151.36133,4.0195427,99
147.3333,151.37318,4.039882,100
