bce,elbo,kld,epoch
74.9244,99.85079,24.926388,1
65.07613,91.336174,26.26004,2
60.81577,88.07269,27.256922,3
59.605312,86.07236,26.467045,4
56.998905,84.8246,27.825695,5
56.4755,83.63645,27.160954,6
55.183052,82.88038,27.697325,7
54.688644,82.59058,27.901941,8
54.280052,81.962555,27.682507,9
53.778492,81.61346,27.83496,10
53.418343,81.23884,27.820492,11
52.881035,80.82339,27.942356,12
52.528828,80.54699,28.01816,13
52.559383,80.411575,27.852194,14
51.986233,80.26069,28.274458,15
51.47938,79.93615,28.45677,16
51.13653,79.69192,28.555387,17
51.055763,79.43101,28.375242,18
50.635387,79.3578,28.722412,19
50.523853,79.160446,28.636591,20
50.65783,79.10463,28.446796,21
50.38205,78.95698,28.574928,22
50.241116,78.869125,28.628012,23
49.75645,78.68393,28.927483,24
49.68816,78.52246,28.834301,25
50.26254,78.43373,28.171192,26
49.91261,78.32168,28.409071,27
49.97773,78.1784,28.200672,28
49.12662,78.01142,28.8848,29
48.897686,77.91014,29.012451,30
48.80334,77.69237,28.889023,31
48.89575,77.70235,28.806599,32
48.80758,77.56964,28.76206,33
48.777565,77.45812,28.68056,34
48.50421,77.38152,28.87731,35
48.43525,77.31315,28.877897,36
48.356205,77.21213,28.855925,37
48.13998,77.14905,29.009068,38
48.01666,77.1157,29.099041,39
48.144176,77.115005,28.970825,40
48.002495,77.02864,29.026144,41
48.041504,76.98667,28.945168,42
47.744663,76.93707,29.19241,43
47.890884,76.91799,29.02711,44
47.80714,76.89218,29.085043,45
47.74197,76.876015,29.134048,46
47.80172,76.85507,29.053349,47
47.73925,76.8359,29.096647,48
47.765297,76.824356,29.059061,49
47.740204,76.82518,29.084978,50
